season,sheet,row,name,club,liga,tm_id,cambios,cont_old,cont_new,cont_cambia,excel_club,gk,antes,ahora
2025-26,DELANTEROS,702,Michel,Yokohama FC,J1 League,887834,"LIGA PJ, LIGA Min, LIGA G/GC, LIGA A/CS, COPA PJ, COPA Min, COPA G/GC, COPA A/CS",—,,False,Yokohama FC,False,28/1790/5/2 | 9/498/2/2 | 0/0/0/0 | 0/0/0/0 | 0/0/0/0,0/0/0/0 | 0/0/0/0 | 0/0/0/0 | 0/0/0/0 | 0/0/0/0
2025-26,DELANTEROS,1470,Sandro Lima,Atlético Clube Goianiense,Campeonato Brasileiro Série B,1116604,"LIGA PJ, LIGA Min, LIGA G/GC, LIGA A/CS, COPA PJ, COPA Min, COPA G/GC",—,,False,Atlético Clube Goianiense,False,17/1081/3/1 | 7/200/1/0 | 0/0/0/0 | 0/0/0/0 | 0/0/0/0,0/0/0/0 | 0/0/0/0 | 0/0/0/0 | 0/0/0/0 | 0/0/0/0
2025-26,DELANTEROS,2154,Chan Kim,Gimcheon Sangmu,K League 1,1013932,"LIGA PJ, LIGA Min, COPA PJ, COPA Min, COPA G/GC",—,,False,Gimcheon Sangmu,False,5/109/1/0 | 2/154/1/0 | 0/0/0/0 | 0/0/0/0 | 0/0/0/0,7/256/1/0 | 0/0/0/0 | 0/0/0/0 | 0/0/0/0 | 0/0/0/0
2025-26,DELANTEROS,2418,Marvin Schulz,Pr. Münster,2. Bundesliga,168678,"LIGA PJ, LIGA Min, LIGA A/CS, COPA Min",—,,False,Pr. Münster,False,13/468/1/0 | 1/23/0/0 | 0/0/0/0 | 0/0/0/0 | 0/0/0/0,22/1273/1/3 | 1/79/0/0 | 0/0/0/0 | 0/0/0/0 | 0/0/0/0
2025-26,EXTREMOS,139,Keiber Lamadrid,Deportivo La Guaira,Liga FUTVE Clausura,1004203,"SEL PJ, SEL Min",SUD,SUD,False,Deportivo La Guaira,False,33/2782/8/6 | 2/107/0/0 | 1/58/0/0 | 0/0/0/0 | 2/71/0/0,33/2782/8/6 | 2/107/0/0 | 1/58/0/0 | 0/0/0/0 | 0/0/0/0
2025-26,EXTREMOS,989,Keiber Lamadrid,West Ham,Premier,1004203,"SEL PJ, SEL Min",—,,False,West Ham,False,0/0/0/0 | 1/71/0/0 | 0/0/0/0 | 0/0/0/0 | 0/0/0/0,0/0/0/0 | 1/71/0/0 | 0/0/0/0 | 0/0/0/0 | 2/71/0/0
2025-26,MEDIOCENTROS,1556,Kento Hashimoto,FC Tokyo,J1 League,785208,"LIGA PJ, LIGA Min, COPA PJ, COPA Min, COPA G/GC, COPA A/CS",—,,False,FC Tokyo,False,28/1935/0/2 | 2/141/0/1 | 0/0/0/0 | 0/0/0/0 | 0/0/0/0,27/1724/0/2 | 4/375/1/0 | 0/0/0/0 | 0/0/0/0 | 0/0/0/0
2025-26,MEDIOCENTROS,1980,Rhys Bozinovski,Perth Glory,A-League Men,916461,"COPA PJ, COPA Min",—,,False,Perth Glory,False,14/1120/0/2 | 1/76/0/0 | 0/0/0/0 | 0/0/0/0 | 0/0/0/0,14/1120/0/2 | 0/0/0/0 | 0/0/0/0 | 0/0/0/0 | 0/0/0/0
2025-26,MEDIOCENTROS,3181,Jin-ho Kim,Jeju SK,K League 1,755355,"LIGA PJ, LIGA Min, COPA Min, CONT PJ, CONT Min",—,ACL,True,Jeju SK,False,6/182/0/0 | 1/75/0/0 | 0/0/0/0 | 0/0/0/0 | 0/0/0/0,13/995/0/0 | 1/9/0/0 | 5/464/0/0 | 0/0/0/0 | 0/0/0/0
2025-26,DEFENSAS,1018,Sebastián Vegas,CSD Colo-Colo,Liga de Primera,1388302,"LIGA PJ, LIGA Min, LIGA G/GC, COPA PJ, COPA Min, COPA G/GC, CONT PJ, CONT Min",LIB,,False,CSD Colo-Colo,False,22/1653/2/0 | 7/480/1/0 | 6/520/0/0 | 0/0/0/0 | 0/0/0/0,0/0/0/0 | 0/0/0/0 | 0/0/0/0 | 0/0/0/0 | 0/0/0/0
2025-26,DEFENSAS,2082,Riku Matsuda,Vissel Kobe,J1 League,553818,"LIGA PJ, LIGA Min, LIGA A/CS, COPA PJ, COPA Min, COPA A/CS, CONT PJ, CONT Min",ACL,,False,Vissel Kobe,False,13/718/0/1 | 7/478/0/1 | 1/1/0/0 | 0/0/0/0 | 0/0/0/0,4/129/0/0 | 1/90/0/0 | 0/0/0/0 | 0/0/0/0 | 0/0/0/0
2025-26,DEFENSAS,2820,Yong Lee,Suwon FC,K League 1,1106944,"LIGA PJ, LIGA Min, LIGA G/GC, LIGA A/CS",—,,False,Suwon FC,False,20/1726/0/1 | 0/0/0/0 | 0/0/0/0 | 0/0/0/0 | 0/0/0/0,33/2354/1/0 | 0/0/0/0 | 0/0/0/0 | 0/0/0/0 | 0/0/0/0
2025-26,PORTEROS,523,Juan Castillo,Fortaleza CEIF,Liga DIMAYOR Apertura,660000,"LIGA PJ, LIGA Min, LIGA G/GC, LIGA A/CS, COPA PJ, COPA Min, COPA A/CS",—,,False,Fortaleza CEIF,True,9/810/17/2 | 2/180/0/2 | 0/0/0/0 | 0/0/0/0 | 0/0/0/0,0/0/0/0 | 0/0/0/0 | 0/0/0/0 | 0/0/0/0 | 0/0/0/0
2026-27,DELANTEROS,92,Tete Yengi,Machida Zelvia,J1 League,849429,"SEL PJ, SEL Min",ACL,ACL,False,Machida Zelvia,False,8/533/2/1 | 16/987/4/1 | 8/525/4/0 | 0/0/0/0 | 0/0/0/0,8/533/2/1 | 16/987/4/1 | 8/525/4/0 | 0/0/0/0 | 1/90/0/0
2026-27,DELANTEROS,224,John Montaño,Bucheon FC,K League 1,1119752,"LIGA PJ, LIGA Min, LIGA G/GC, LIGA A/CS",—,,False,Bucheon FC,False,11/919/3/5 | 0/0/0/0 | 0/0/0/0 | 0/0/0/0 | 0/0/0/0,0/0/0/0 | 0/0/0/0 | 0/0/0/0 | 0/0/0/0 | 0/0/0/0
2026-27,DELANTEROS,226,Moses Usor,LASK,Bundesliga Austria,1003622,"SEL PJ, SEL Min, SEL G/GC",UCL,UCL,False,LASK,False,7/417/2/3 | 2/54/0/1 | 3/262/1/1 | 0/0/0/0 | 0/0/0/0,7/417/2/3 | 2/54/0/1 | 3/262/1/1 | 0/0/0/0 | 1/29/1/0
2026-27,DELANTEROS,282,Alexander Bernhardsson,Wolfsburgo,2. Bundesliga,633454,"SEL PJ, SEL Min",—,,False,Wolfsburgo,False,6/507/3/3 | 1/68/0/1 | 0/0/0/0 | 0/0/0/0 | 0/0/0/0,6/507/3/3 | 1/68/0/1 | 0/0/0/0 | 0/0/0/0 | 1/77/0/0
2026-27,DELANTEROS,297,Mohamed Alì Zoma,Núremberg,2. Bundesliga,935828,"SEL PJ, SEL Min",—,,False,Núremberg,False,6/523/6/0 | 1/67/0/0 | 0/0/0/0 | 0/0/0/0 | 0/0/0/0,6/523/6/0 | 1/67/0/0 | 0/0/0/0 | 0/0/0/0 | 1/10/0/0
